210101099;17;0+0+0+0+0+0+0+0+0+0+0
210101111;17;0+0+0+0+0+0+0+0+0+0+0
210101116;17;0+0+3+0+0+0+0+0+0+0+0
210102029;17;0+2+0+0+0+0+0+0+0+0+0
210102046;17;0+0+0+0+0+0+0+0+0+0+0
210103082;17;0+0+0+0+0+0+0+0+0+0+0
210103087;17;0+0+0+0+0+0+0+0+0+0+0
210103092;17;0+0+0+0+0+0+0+0+0+0+0
210103125;17;0+0+0+4+0+0+0+0+0+0+0
210103126;17;0+0+0+0+0+0+0+0+0+0+0
210103127;17;0+0+0+0+0+0+0+0+0+0+11
210104009;17;0+0+0+0+0+0+0+0+0+0+0
210104053;17;0+0+0+0+0+0+0+0+0+0+11
210107001;17;0+0+0+0+0+0+0+0+0+0+0
210107016;17;0+0+3+0+0+0+0+0+0+0+0
210107023;17;0+0+0+0+0+0+0+0+0+0+0
210107034;17;0+0+0+0+0+0+0+0+0+0+0
210107044;17;0+0+0+0+0+0+0+0+0+0+0
210107067;17;0+0+0+0+0+0+0+0+0+0+0
210107069;17;0+0+0+0+0+0+0+0+0+0+0
210107071;17;0+0+0+0+0+0+0+0+0+0+0
210107099;17;0+0+0+0+0+0+0+0+0+0+0
210108026;17;0+0+0+0+0+0+0+0+0+0+0
210121069;17;0+0+0+0+0+0+0+0+0+0+11
220101035;17;0+2+0+0+0+0+0+0+0+0+0
220121073;17;0+0+0+0+0+0+0+0+0+0+0
220123012;17;0+0+0+0+0+0+0+0+0+0+11
210101099;18;0+0+0+0+0+0+0+0+0+0+0
210101111;18;0+0+0+0+0+0+0+0+0+0+0
210101116;18;0+0+0+0+0+0+0+0+9+0+0
210102029;18;0+0+0+0+0+0+0+0+0+0+11
210102046;18;0+0+0+0+0+0+0+0+0+0+0
210103082;18;0+0+0+0+0+0+0+0+0+0+0
210103087;18;0+0+0+0+0+0+0+0+0+0+0
210103092;18;0+0+0+0+0+0+0+0+0+0+0
210103125;18;0+0+0+0+0+0+0+0+9+0+0
210103126;18;0+0+0+0+0+0+0+0+0+0+0
210103127;18;0+0+0+0+0+0+0+0+0+0+11
210104009;18;0+0+0+0+0+0+0+0+0+0+0
210104053;18;0+0+0+0+0+0+0+0+0+0+11
210107001;18;0+0+0+0+0+0+0+0+0+0+0
210107016;18;0+0+0+0+0+0+0+0+0+0+0
210107023;18;0+0+0+0+0+0+0+0+0+0+0
210107034;18;0+0+0+0+0+0+0+0+0+0+0
210107044;18;0+0+0+0+0+0+0+0+0+0+0
210107067;18;0+0+0+0+0+0+0+0+0+0+0
210107069;18;0+0+0+0+0+0+0+0+0+0+0
210107071;18;0+0+0+0+0+0+0+0+0+0+0
210107099;18;0+0+0+0+0+0+0+0+0+0+0
210108026;18;0+0+0+0+0+0+0+0+0+0+0
210121069;18;0+0+0+0+0+0+0+0+0+0+11
220101035;18;0+0+0+0+0+0+0+0+0+0+0
220121073;18;0+0+0+0+0+0+0+0+0+0+0
220123012;18;0+0+0+0+0+0+0+0+0+0+0
210101099;19;0+0+0+0+0+0+0+0+0+0+0
210101111;19;0+0+0+0+0+0+0+0+0+0+0
210101116;19;0+0+0+0+0+0+0+0+0+0+0
210102029;19;0+0+0+0+0+0+0+0+0+0+0
210102046;19;0+0+0+0+0+0+0+0+0+0+0
210103082;19;0+0+0+0+0+0+0+0+0+0+0
210103087;19;0+0+0+0+0+0+0+0+0+0+0
210103092;19;0+0+0+0+0+0+0+0+0+0+0
210103125;19;0+0+0+0+0+0+0+0+9+0+0
210103126;19;0+0+0+0+0+0+0+0+0+0+0
210103127;19;0+0+0+0+0+0+0+0+0+0+11
210104009;19;0+0+0+0+0+0+0+0+0+0+0
210104053;19;0+0+0+0+0+0+0+0+0+10+0
210107001;19;0+0+0+0+0+0+0+0+0+0+0
210107016;19;0+0+0+0+0+0+0+0+0+0+0
210107023;19;0+0+0+0+0+0+0+0+0+0+0
210107034;19;0+0+0+0+0+0+0+0+0+0+0
210107044;19;0+0+0+0+0+0+0+0+0+0+0
210107067;19;0+0+0+0+0+0+0+0+0+0+0
210107069;19;0+0+0+0+0+0+0+0+0+0+0
210107071;19;0+0+0+0+0+0+0+0+0+0+0
210107099;19;0+0+0+0+0+0+0+0+0+0+0
210108026;19;0+0+0+0+0+0+0+0+0+0+0
210121069;19;0+0+0+0+0+0+0+8+0+0+0
220101035;19;0+0+0+0+0+0+0+0+0+0+0
220121073;19;0+0+0+0+0+0+0+0+0+0+0
220123012;19;0+0+0+0+0+0+0+0+0+0+0
210101099;20;0+0+0+0+0+0+0+0+0+0+0
210101111;20;0+0+0+0+0+0+0+0+0+0+0
210101116;20;0+0+0+0+0+0+0+0+0+0+0
210102029;20;0+0+0+0+0+0+0+0+0+0+0
210102046;20;0+0+0+0+0+0+0+0+0+0+0
210103082;20;0+0+0+0+0+0+0+0+0+0+0
210103087;20;0+0+0+0+0+0+0+0+0+0+0
210103092;20;0+0+0+0+0+0+0+0+0+0+0
210103125;20;0+0+0+0+0+0+0+0+0+0+0
210103126;20;0+0+0+0+0+0+0+0+0+0+0
210103127;20;0+0+0+0+0+0+0+0+0+0+0
210104009;20;0+0+0+0+0+0+0+0+0+0+0
210104053;20;0+0+0+0+0+0+0+0+0+0+0
210107001;20;0+0+0+0+0+0+0+0+0+0+0
210107016;20;0+0+0+0+0+0+0+0+0+0+0
210107023;20;0+0+0+0+0+0+0+0+0+0+0
210107034;20;0+0+0+0+0+0+0+0+0+0+0
210107044;20;0+0+0+0+0+0+0+0+0+0+0
210107067;20;0+0+0+0+0+0+0+0+0+0+0
210107069;20;0+0+0+0+0+0+0+0+0+0+0
210107071;20;0+0+0+0+0+0+0+0+0+0+0
210107099;20;0+0+0+0+0+0+0+0+0+0+0
210108026;20;0+0+0+0+0+0+0+0+0+0+11
210121069;20;0+0+0+0+0+0+0+0+0+0+0
220101035;20;0+0+0+0+0+0+0+0+0+0+0
220121073;20;0+0+0+0+0+0+0+0+0+0+0
220123012;20;0+0+0+0+0+0+0+0+0+0+0
