210101099-17;1+2+3+4+5+6+7+8+9+10+11
210101099-18;1+2+3+4+5+6+7+8+9+10+11
210101099-19;1+2+3+4+5+6+7+8+9+10+11
210101099-20;1+2+3+4+5+6+7+8+9+10+11
210101111-17;1+2+3+4+5+6+7+8+9+10+11
210101111-18;1+2+3+4+5+6+7+8+9+10+11
210101111-19;1+2+3+4+5+6+7+8+9+10+11
210101111-20;1+2+3+4+5+6+7+8+9+10+11
210101116-17;1+2+3+4+5+6+7+8+9+10+11
210101116-18;1+2+3+4+5+6+7+8+9+10+11
210101116-19;1+2+3+4+5+6+7+8+9+10+11
210101116-20;1+2+3+4+5+6+7+8+9+10+11
210102029-17;1+2+3+4+5+6+7+8+9+10+11
210102029-18;1+2+3+4+5+6+7+8+9+10+11
210102029-19;1+2+3+4+5+6+7+8+9+10+11
210102029-20;1+2+3+4+5+6+7+8+9+10+11
210102046-17;1+2+3+4+5+6+7+8+9+10+11
210102046-18;1+2+3+4+5+6+7+8+9+10+11
210102046-19;1+2+3+4+5+6+7+8+9+10+11
210102046-20;1+2+3+4+5+6+7+8+9+10+11
210103082-17;1+2+3+4+5+6+7+8+9+10+11
210103082-18;1+2+3+4+5+6+7+8+9+10+11
210103082-19;1+2+3+4+5+6+7+8+9+10+11
210103082-20;1+2+3+4+5+6+7+8+9+10+11
210103087-17;1+2+3+4+5+6+7+8+9+10+11
210103087-18;1+2+3+4+5+6+7+8+9+10+11
210103087-19;1+2+3+4+5+6+7+8+9+10+11
210103087-20;1+2+3+4+5+6+7+8+9+10+11
210103092-17;1+2+3+4+5+6+7+8+9+10+11
210103092-18;1+2+3+4+5+6+7+8+9+10+11
210103092-19;1+2+3+4+5+6+7+8+9+10+11
210103092-20;1+2+3+4+5+6+7+8+9+10+11
210103125-17;1+2+3+4+5+6+7+8+9+10+11
210103125-18;1+2+3+4+5+6+7+8+9+10+11
210103125-19;1+2+3+4+5+6+7+8+9+10+11
210103125-20;1+2+3+4+5+6+7+8+9+10+11
210103126-17;1+2+3+4+5+6+7+8+9+10+11
210103126-18;1+2+3+4+5+6+7+8+9+10+11
210103126-19;1+2+3+4+5+6+7+8+9+10+11
210103126-20;1+2+3+4+5+6+7+8+9+10+11
210103127-17;1+2+3+4+5+6+7+8+9+10+11
210103127-18;1+2+3+4+5+6+7+8+9+10+11
210103127-19;1+2+3+4+5+6+7+8+9+10+11
210103127-20;1+2+3+4+5+6+7+8+9+10+11
210104009-17;1+2+3+4+5+6+7+8+9+10+11
210104009-18;1+2+3+4+5+6+7+8+9+10+11
210104009-19;1+2+3+4+5+6+7+8+9+10+11
210104009-20;1+2+3+4+5+6+7+8+9+10+11
210104053-17;1+2+3+4+5+6+7+8+9+10+11
210104053-18;1+2+3+4+5+6+7+8+9+10+11
210104053-19;1+2+3+4+5+6+7+8+9+10+11
210104053-20;1+2+3+4+5+6+7+8+9+10+11
210107001-17;1+2+3+4+5+6+7+8+9+10+11
210107001-18;1+2+3+4+5+6+7+8+9+10+11
210107001-19;1+2+3+4+5+6+7+8+9+10+11
210107001-20;1+2+3+4+5+6+7+8+9+10+11
210107016-17;1+2+3+4+5+6+7+8+9+10+11
210107016-18;1+2+3+4+5+6+7+8+9+10+11
210107016-19;1+2+3+4+5+6+7+8+9+10+11
210107016-20;1+2+3+4+5+6+7+8+9+10+11
210107023-17;1+2+3+4+5+6+7+8+9+10+11
210107023-18;1+2+3+4+5+6+7+8+9+10+11
210107023-19;1+2+3+4+5+6+7+8+9+10+11
210107023-20;1+2+3+4+5+6+7+8+9+10+11
210107034-17;1+2+3+4+5+6+7+8+9+10+11
210107034-18;1+2+3+4+5+6+7+8+9+10+11
210107034-19;1+2+3+4+5+6+7+8+9+10+11
210107034-20;1+2+3+4+5+6+7+8+9+10+11
210107044-17;1+2+3+4+5+6+7+8+9+10+11
210107044-18;1+2+3+4+5+6+7+8+9+10+11
210107044-19;1+2+3+4+5+6+7+8+9+10+11
210107044-20;1+2+3+4+5+6+7+8+9+10+11
210107067-17;1+2+3+4+5+6+7+8+9+10+11
210107067-18;1+2+3+4+5+6+7+8+9+10+11
210107067-19;1+2+3+4+5+6+7+8+9+10+11
210107067-20;1+2+3+4+5+6+7+8+9+10+11
210107069-17;1+2+3+4+5+6+7+8+9+10+11
210107069-18;1+2+3+4+5+6+7+8+9+10+11
210107069-19;1+2+3+4+5+6+7+8+9+10+11
210107069-20;1+2+3+4+5+6+7+8+9+10+11
210107071-17;1+2+3+4+5+6+7+8+9+10+11
210107071-18;1+2+3+4+5+6+7+8+9+10+11
210107071-19;1+2+3+4+5+6+7+8+9+10+11
210107071-20;1+2+3+4+5+6+7+8+9+10+11
210107099-17;1+2+3+4+5+6+7+8+9+10+11
210107099-18;1+2+3+4+5+6+7+8+9+10+11
210107099-19;1+2+3+4+5+6+7+8+9+10+11
210107099-20;1+2+3+4+5+6+7+8+9+10+11
210108026-17;1+2+3+4+5+6+7+8+9+10+11
210108026-18;1+2+3+4+5+6+7+8+9+10+11
210108026-19;1+2+3+4+5+6+7+8+9+10+11
210108026-20;1+2+3+4+5+6+7+8+9+10+11
210121069-17;1+2+3+4+5+6+7+8+9+10+11
210121069-18;1+2+3+4+5+6+7+8+9+10+11
210121069-19;1+2+3+4+5+6+7+8+9+10+11
210121069-20;1+2+3+4+5+6+7+8+9+10+11
220101035-17;1+2+3+4+5+6+7+8+9+10+11
220101035-18;1+2+3+4+5+6+7+8+9+10+11
220101035-19;1+2+3+4+5+6+7+8+9+10+11
220101035-20;1+2+3+4+5+6+7+8+9+10+11
220121073-17;1+2+3+4+5+6+7+8+9+10+11
220121073-18;1+2+3+4+5+6+7+8+9+10+11
220121073-19;1+2+3+4+5+6+7+8+9+10+11
220121073-20;1+2+3+4+5+6+7+8+9+10+11
220123012-17;1+2+3+4+5+6+7+8+9+10+11
220123012-18;1+2+3+4+5+6+7+8+9+10+11
220123012-19;1+2+3+4+5+6+7+8+9+10+11
220123012-20;1+2+3+4+5+6+7+8+9+10+11
